compound,neg,neu,pos,tweet
0.6486,0.0,0.751,0.249,"""I dream of Wild West where Cowboys roam as free as the tumbleweeds and the dust devils… https://t.co/D6f4HN9uQA"
0.2023,0.0,0.625,0.375,"""Reaching for the wind."""
0.0772,0.0,0.902,0.098,You know you want this as your profile pic too... #WeBelieveWeGive #wlfeo https://t.co/w15qaAj0MZ
0.6696,0.0,0.667,0.333,Thinks you gotta love the sound of rain at 5am!
0.6696,0.0,0.572,0.428,Gotta love the boy band sing along!
0.4753,0.0,0.393,0.607,@DJVirginMega lol Brons!
0.5859,0.0,0.568,0.432,@djvirginmega beauty and essex #Hyped4Henny http://t.co/fiyEVyH3p3
0.0,0.0,1.0,0.0,@nikestore when will the black toe jordan 14's relaunch on http://t.co/jydUgO7BvL ?
0.0,0.0,1.0,0.0,Every B deserves a J #familyguy
0.4926,0.0,0.484,0.516,I just hope I studied enough!
0.0,0.0,1.0,0.0,Jesus take the wheel!
